id,Anio,Mes,Departamento,Municipio,Deslizamiento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2166,2011,10,QUINDIO,CALARCA,SI,1450,253.7,19.9
2167,2010,11,RISARALDA,PEREIRA,NO,1342,287.9,20.9
2168,2005,07,CHOCO,QUIBDO,NO,53,804.6,26.8
2169,2013,07,ANTIOQUIA,MEDELLIN,NO,1490,133.1,23.1
2170,2011,05,NORTE DE SANTANDER,LA PLAYA,NO,1500,100.7,20.5
2171,2004,09,TOLIMA,SAN SEBASTIAN DE MARIQUITA,NO,500,258.2,25.2
2172,1999,06,CHOCO,BAHIA SOLANO,NO,4,454.2,25.7
2173,1999,11,MAGDALENA,CONCORDIA,NO,1904,237.6,17.8
2174,2012,05,NARINO,PUERRES,SI,1776,342.6,16.8
2175,2012,11,NARINO,PASTO,SI,2830,111,12.2
2176,2012,06,SANTANDER,GIRON,NO,777,71.7,25.2
2177,2004,10,CORDOBA,SAN BERNARDO DEL VIENTO,NO,22,66.3,27.1
2178,2006,08,CORDOBA,CERETE,NO,20,115.8,27.8
2179,2008,05,VALLE DEL CAUCA,BOLIVAR,NO,2300,109,16.6
2180,2011,12,CORDOBA,MONTERIA,NO,30,32.4,27
2181,2012,02,CAQUETA,EL DONCELLO,NO,270,144.1,26.5
2182,2013,10,BOYACA,PUERTO BOYACA,NO,350,290.6,27
2183,2008,11,CUNDINAMARCA,ANAPOIMA,NO,810,147.8,24.5
2184,2005,01,CASANARE,OROCUE,NO,130,16.4,27.4
2185,2001,09,TOLIMA,MELGAR,NO,319,86.8,28.4
2186,2012,08,MAGDALENA,CONCORDIA,NO,1904,198.2,18.8
2187,2011,06,QUINDIO,ARMENIA,SI,1229,153.1,22.2
2188,2013,02,CAUCA,BOLIVAR,NO,2300,135.8,16
2189,2012,01,HUILA,PALERMO,NO,460,129.4,26.9
2190,2013,07,CAQUETA,FLORENCIA,NO,280,416.3,23.8
2191,2007,05,TOLIMA,SALDANA,NO,425,167.2,27.7
2192,2012,04,CAUCA,PIENDAMO,NO,1800,242.6,19.1
2193,2002,02,CAUCA,BOLIVAR,NO,2300,135.8,16
2194,2011,05,BOYACA,SOGAMOSO,NO,2500,99.3,14.6
2195,2013,10,CAUCA,SOTARA,NO,2450,267.7,13.8
2196,2012,03,HUILA,GARZON,SI,1270,126.5,20.6
2197,1999,02,VALLE DEL CAUCA,YUMBO,NO,1500,59.5,20.9
2198,2005,12,HUILA,NEIVA,NO,1691,168.7,18.5
2199,2010,02,HUILA,SAN AGUSTIN,NO,1800,101.6,18.8
2200,2013,08,HUILA,CAMPOALEGRE,NO,553,23.6,27.5
2201,2007,11,VALLE DEL CAUCA,TULUA,NO,2902,129.6,11.3
2202,2011,06,BOYACA,SOGAMOSO,NO,2500,56.5,14.2
2203,2003,02,NARINO,SAN ANDRES DE TUMACO,NO,1,276.8,26.1
2204,2001,04,NARINO,SAN ANDRES DE TUMACO,NO,1,330.8,26.5
2205,2012,02,QUINDIO,CALARCA,NO,1450,137.8,20.9
2206,2013,01,CHOCO,QUIBDO,NO,53,544.9,26.4
2207,2009,04,TOLIMA,MELGAR,NO,319,148.3,27.6
2208,2013,07,ARAUCA,ARAUCA,NO,128,309.6,25.7
2209,2005,05,TOLIMA,IBAGUE,SI,750,212.9,24.8
2210,2000,05,NARINO,TANGUA,NO,2800,94.1,13.3
2211,1999,11,CHOCO,SAN JOSE DEL PALMAR,NO,1115,505.1,20.6
2212,2013,03,CASANARE,YOPAL,NO,325,101.3,28.5
2213,2013,01,VALLE DEL CAUCA,CALI,NO,954,74.8,25.3
2214,2013,09,ANTIOQUIA,ARBOLETES,NO,4,187.8,27.3
2215,2003,01,ANTIOQUIA,MEDELLIN,NO,1490,63.2,22.4
2216,2008,11,CUNDINAMARCA,VENECIA,NO,1600,259,19.4
2217,2010,08,MAGDALENA,EL BANCO,NO,34,221,28.7
2218,2013,02,CASANARE,YOPAL,NO,325,53.7,28.7
2219,2010,09,ATLANTICO,BARRANQUILLA,SI,2,135.7,28.2
