id,Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
1713,2012,02,BOYACA,SOGAMOSO,INCENDIO FORESTAL,2500-3000,0-100,10-15
1714,2010,08,NARINO,PASTO,ERUPCION VOLCANICA,2500-3000,100-200,10-15
1715,2004,11,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
1716,2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
1717,2007,10,ANTIOQUIA,ANDES,DESLIZAMIENTO,1000-1500,200-300,20-25
1718,2008,05,TOLIMA,VALLE DE SAN JUAN,INUNDACION,500-1000,200-300,25-30
1719,2011,05,NORTE DE SANTANDER,CUCUTA,INUNDACION,0-500,200-300,25-30
1720,2010,09,QUINDIO,ARMENIA,INUNDACION,1000-1500,100-200,20-25
1721,2013,08,RISARALDA,PEREIRA,COLAPSO,1000-1500,100-200,20-25
1722,2012,12,ATLANTICO,BARRANQUILLA,VENDAVAL,0-500,0-100,25-30
1723,1999,02,SANTANDER,BARRANCABERMEJA,INUNDACION,0-500,100-200,25-30
1724,2010,09,ANTIOQUIA,BELLO,INUNDACION,1000-1500,100-200,20-25
1725,2013,10,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1000-1500,100-200,20-25
1726,2012,05,META,VILLAVICENCIO,INCENDIO ESTRUCTURAL,0-500,600-700,25-30
1727,2011,04,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
1728,2010,08,CUNDINAMARCA,CABRERA,INCENDIO ESTRUCTURAL,2000-2500,0-100,15-20
1729,2012,02,ARAUCA,SARAVENA,INCENDIO FORESTAL,0-500,0-100,25-30
1730,2012,10,SANTANDER,GIRON,DESLIZAMIENTO,500-1000,100-200,25-30
1731,2010,11,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
1732,2012,10,TOLIMA,IBAGUE,INUNDACION,500-1000,100-200,20-25
1733,2012,09,MAGDALENA,ZONA BANANERA,INUNDACION,0-500,100-200,25-30
1734,2006,09,CAQUETA,SAN JOSE DEL FRAGUA,VENDAVAL,0-500,200-300,25-30
1735,2000,09,MAGDALENA,SANTA MARTA,INUNDACION,0-500,100-200,25-30
1736,2011,12,CALDAS,SAMANA,DESLIZAMIENTO,1000-1500,800-900,15-20
1737,2011,04,HUILA,SUAZA,INUNDACION,1000-1500,100-200,20-25
1738,2005,03,CUNDINAMARCA,NEMOCON,INCENDIO FORESTAL,2500-3000,0-100,10-15
1739,2013,10,BOLIVAR,PINILLOS,INUNDACION,0-500,300-400,25-30
